AudioEffectGroupDevice, Audio Effects/Audio Effect Rack;
AuPluginDevice, AuPluginDevice;
AutoFilter, Audio Effects/Auto Filter;
AutoPan, Audio Effects/Auto Pan;
BeatRepeat, Audio Effects/Beat Repeat;
Chorus, Audio Effects/Chorus;
Collision, Instruments/Collision;
Corpus, Audio Effects/Corpus;
Compressor2, Audio Effects/Compressor;
CrossDelay, Audio Effects/Simple Delay;
DrumGroupDevice, Instruments/Drum Rack;
Eq8, Audio Effects/EQ Eight;
Erosion, Audio Effects/Erosion;
Electric, Instruments/Electric;
FilterDelay, Audio Effects/Filter Delay;
FilterEQ3, Audio Effects/EQ Three;
Flanger, Audio Effects/Flanger;
FrequencyShifter, Audio Effects/Frequency Shifter;
Gate, Audio Effects/Gate;
GrainDelay, Audio Effects/Grain Delay;
InstrumentGroupDevice, Instruments/Instrument Rack;
InstrumentImpulse, Instruments/Impulse;
Limiter, Audio Effects/Limiter;
Looper, Audio Effects/Looper;
LoungeLizard, Intruments/Electric; 
MidiArpeggiator, MIDI Effects/Arpeggiator;
MidiChord, MIDI Effects/Chord;
MidiEffectGroupDevice, MIDI Effects/Midi Effect rack;
MidiNoteLength, MIDI Effects/Note Length;
MidiPitcher, MIDI Effects/Pitch;
MidiRandom, MIDI Effects/Random;
MidiScale, MIDI Effects/Scale;
MidiVelocity, MIDI Effects/Velocity;
MultiSampler, Instruments/Sampler;
MultibandDynamics, Audio Effects/Multiband Dynamics;
MxDeviceAudioEffect, Audio Effects/Max Audio Effect;
MxDeviceInstrument, Instruments/Max Instrument;
MxDeviceMidiEffect, MIDI Effects/Max Midi Effect;
Operator, Instruments/Operator;
OriginalSimpler, Instruments/Simpler;
Overdrive, Audio Effects/Overdrive;
Phaser, Audio Effects/Phaser;
PingPongDelay, Audio Effects/Ping Pong Delay;
PluginDevice, PluginDevice;
ProxyAudioEffectDevice, Audio Effects/External Audio Effect;
ProxyInstrumentDevice, Instruments/External Instruments;
Redux, Audio Effects/Redux;
Resonator, Audio Effects/Resonators;
Reverb, Audio Effects/Reverb;
Saturator, Audio Effects/Saturator;
SpectrumAnalyzer, Audio Effects/Spectrum;
StereoGain, Audio Effects/Utility;
StringStudio, Instruments/Tension;
Tube, Audio Effects/Dynamic Tube;
Tension, Instruments/Tension;
UltraAnalog, Instruments/Analog;
Vinyl, Audio Effects/Vinyl Distortion;
Vocoder, Audio Effects/Vocoder;
